Designator,Val,Package,Mid X,Mid Y,Rotation,layer
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,82.55,-92.71,270,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,91.44,-92.71,270,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,100.33,-92.71,270,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,109.22,-92.71,270,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,118.11,-92.71,270,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,127,-92.71,270,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,135.89,-92.71,270,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,144.78,-92.71,270,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,153.67,-92.71,270,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,162.56,-92.71,270,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,171.45,-92.71,270,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,180.34,-92.71,270,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,189.23,-92.71,270,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,198.12,-92.71,270,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,206.375,-92.71,270,top
